,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,name
73,10,202710,2019-20,0,1610612748,MIA,30.0,13,13,438.0,72,165,0.436,9,35,0.257,93,107,0.8690000000000001,25,45,70,87,34,11,33,16,246,Jimmy Butler
74,7,203998,2019-20,0,1610612763,MEM,24.0,10,0,87.0,14,32,0.43799999999999994,3,13,0.231,0,0,0.0,6,12,18,5,4,8,4,12,31,Bruno Caboclo
75,6,203484,2019-20,0,1610612747,LAL,26.0,18,8,412.0,56,124,0.452,22,53,0.415,14,18,0.778,9,30,39,24,13,3,15,30,148,Kentavious Caldwell-Pope
76,0,1628427,2019-20,0,1610612743,DEN,22.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Vlatko Cancar
77,5,203991,2019-20,0,1610612745,HOU,25.0,15,15,478.0,100,157,0.637,0,0,0.0,19,43,0.442,56,164,220,15,13,30,23,43,219,Clint Capela
78,14,201960,2019-20,0,1610612759,SAS,33.0,9,0,100.0,7,22,0.318,3,11,0.273,4,4,1.0,7,19,26,9,1,2,5,14,21,DeMarre Carroll
79,1,1628975,2019-20,0,1610612756,PHX,24.0,13,2,196.0,20,49,0.408,12,30,0.4,4,4,1.0,3,22,25,24,12,5,15,21,56,Jevon Carter
80,25,1713,2019-20,0,1610612737,ATL,42.0,13,0,202.0,27,74,0.365,12,48,0.25,5,6,0.833,3,26,29,8,4,3,9,24,71,Vince Carter
81,1,1628976,2019-20,0,1610612741,CHI,20.0,19,19,545.0,92,158,0.5820000000000001,2,12,0.16699999999999998,52,75,0.693,71,114,185,17,11,16,26,77,238,Wendell Carter Jr.
82,10,203487,2019-20,0,1610612753,ORL,28.0,10,0,149.0,14,47,0.298,3,17,0.17600000000000002,16,20,0.8,11,20,31,13,8,6,8,17,47,Michael Carter-Williams
83,2,1627936,2019-20,0,1610612747,LAL,25.0,16,0,319.0,32,77,0.41600000000000004,10,35,0.28600000000000003,4,6,0.667,1,25,26,32,18,6,17,21,78,Alex Caruso
84,4,1626161,2019-20,0,1610612744,GSW,26.0,16,15,359.0,50,95,0.526,0,0,0.0,13,17,0.765,20,80,100,28,18,18,15,43,113,Willie Cauley-Stein
85,20,2199,2019-20,0,1610612745,HOU,37.0,16,3,146.0,11,15,0.733,0,0,0.0,5,9,0.556,18,28,46,6,4,7,6,22,27,Tyson Chandler
86,0,1629597,2019-20,0,1610612740,NOP,24.0,2,0,20.0,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,1,0,0,1,3,2,Zylan Cheatham
87,1,1629185,2019-20,0,1610612764,WAS,24.0,3,0,37.0,2,9,0.222,2,4,0.5,0,0,0.0,0,4,4,7,2,2,3,6,6,Chris Chiozza
88,5,1627737,2019-20,0,1610612744,GSW,22.0,18,1,316.0,50,99,0.505,3,14,0.214,30,36,0.833,26,58,84,37,16,19,26,38,133,Marquese Chriss
89,1,1629109,2019-20,0,1610612745,HOU,25.0,5,0,39.0,7,14,0.5,4,10,0.4,0,0,0.0,3,6,9,2,1,1,0,5,18,Gary Clark
90,0,1629634,2019-20,0,1610612763,MEM,23.0,16,1,352.0,87,137,0.635,9,20,0.45,17,20,0.85,24,76,100,20,9,16,17,26,200,Brandon Clarke
91,7,203903,2019-20,0,1610612739,CLE,27.0,18,0,408.0,84,199,0.42200000000000004,32,89,0.36,61,69,0.884,11,30,41,43,11,6,21,21,261,Jordan Clarkson
92,0,1629651,2019-20,0,1610612751,BKN,20.0,9,0,119.0,11,21,0.524,0,5,0.0,5,12,0.41700000000000004,8,14,22,11,1,5,6,10,27,Nicolas Claxton
93,0,1629598,2019-20,0,1610612745,HOU,22.0,12,0,101.0,18,42,0.429,14,35,0.4,3,4,0.75,2,7,9,6,2,2,5,11,53,Chris Clemons
94,2,1628381,2019-20,0,1610612737,ATL,22.0,5,5,161.0,32,61,0.525,9,19,0.474,12,17,0.706,10,34,44,8,5,10,7,17,85,John Collins
95,2,1628380,2019-20,0,1610612757,POR,22.0,3,3,86.0,9,19,0.474,3,7,0.429,6,6,1.0,4,8,12,6,0,2,6,11,27,Zach Collins
96,12,201144,2019-20,0,1610612762,UTA,32.0,18,18,548.0,84,228,0.368,33,95,0.34700000000000003,56,71,0.789,12,49,61,84,13,2,39,40,257,Mike Conley
97,4,1626192,2019-20,0,1610612749,MIL,26.0,16,0,280.0,36,75,0.48,15,46,0.326,6,6,1.0,7,48,55,24,3,10,8,16,93,Pat Connaughton
98,5,1626188,2019-20,0,1610612747,LAL,26.0,15,0,216.0,32,77,0.41600000000000004,9,28,0.321,2,3,0.667,4,16,20,27,6,1,12,9,75,Quinn Cook
99,0,1629076,2019-20,0,1610612739,CLE,22.0,6,0,17.0,5,6,0.833,0,0,0.0,2,2,1.0,3,2,5,0,1,0,1,1,12,Tyler Cook
100,8,203496,2019-20,0,1610612750,MIN,28.0,17,17,460.0,69,156,0.442,32,93,0.344,35,40,0.875,13,81,94,20,24,17,27,47,205,Robert Covington
101,6,203459,2019-20,0,1610612737,ATL,27.0,8,0,155.0,18,46,0.391,6,26,0.231,5,7,0.7140000000000001,5,19,24,7,4,2,4,5,47,Allen Crabbe
